Name,E214  (11.1%)
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.669000,0.104000
98.737000,0.422000
97.312000,0.916000
95.431000,1.501000
93.081000,2.139000
90.279000,2.833000
87.072000,3.576000
83.508000,4.344000
79.626000,5.105000
75.457000,5.841000
71.040000,6.544000
66.430000,7.207000
61.682000,7.813000
56.852000,8.344000
51.991000,8.776000
47.142000,9.093000
42.346000,9.281000
37.645000,9.332000
33.076000,9.241000
28.674000,9.008000
24.474000,8.639000
20.510000,8.142000
16.816000,7.532000
13.424000,6.822000
10.365000,6.028000
7.665000,5.168000
5.349000,4.258000
3.434000,3.321000
1.934000,2.379000
0.856000,1.465000
0.210000,0.619000
0.005000,-0.086000
0.360000,-0.632000
1.326000,-1.087000
2.830000,-1.475000
4.858000,-1.784000
7.390000,-2.011000
10.406000,-2.161000
13.874000,-2.236000
17.759000,-2.245000
22.017000,-2.193000
26.599000,-2.086000
31.449000,-1.928000
36.508000,-1.721000
41.714000,-1.453000
47.030000,-1.100000
52.450000,-0.678000
57.932000,-0.245000
63.400000,0.155000
68.770000,0.495000
73.959000,0.756000
78.883000,0.923000
83.461000,0.994000
87.612000,0.970000
91.265000,0.862000
94.352000,0.684000
96.809000,0.461000
98.582000,0.235000
99.646000,0.065000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.210000,0.619000
0.856000,0.299688
1.934000,0.567574
3.434000,0.876985
5.349000,1.214990
7.665000,1.571661
10.365000,1.934520
13.424000,2.297866
16.816000,2.644592
20.510000,2.965298
24.474000,3.251688
28.674000,3.494799
33.076000,3.689786
37.645000,3.834766
42.346000,3.934983
47.142000,4.000860
51.991000,4.031131
56.852000,4.006848
61.682000,3.921162
66.430000,3.776922
71.040000,3.576589
75.457000,3.323903
79.626000,3.019762
83.508000,2.668864
87.072000,2.274561
90.279000,1.862075
93.081000,1.448144
95.431000,1.043534
97.312000,0.656442
98.737000,0.316117
99.669000,0.082388
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
